"Katai Advanced SQL Reporting","Katai Advanced SQL Reporting"
"General","General"
"Enabled","Enabled"
"Manage Reports","Manage Reports"
"Add New Report","Add New Report"
"Overview Menu","Overview Menu"
"New Report","New Report"
"Overview Reports","Overview Reports"
"Edit Report #%s","Edit Report #%s"
"Edit Report","Edit Report"
"Katai Report Information","Katai Report Information"
"Store","Store"
"Title","Title"
"Is Active","Is Active"
"Active","Active"
"Custom SQL Query","Custom SQL Query"
"Query Fields","Query Fields"
